nohup: ignoring input
baseline  0 0 ef 64 recall 0.92758 qps 1028.41787824636
route_priority high_variance 10 8 ef 192 recall 0.95548 qps 358.79355069456824
route_priority high_variance 10 8 ef 256 recall 0.95834 qps 284.2536717836557
route_priority high_variance 10 8 ef 460 recall 0.96282 qps 176.69735139959556
route_priority short_code_selected 10 2 ef 64 recall 0.92758 qps 818.2720089718583
route_priority short_code_selected 10 2 ef 96 recall 0.94352 qps 606.0260640453341
route_priority short_code_selected 10 2 ef 128 recall 0.9496 qps 476.7009475381646
route_priority short_code_selected 10 2 ef 192 recall 0.95548 qps 360.5969758443486
route_priority short_code_selected 10 2 ef 256 recall 0.95834 qps 286.9794999324061
route_priority short_code_selected 10 2 ef 460 recall 0.96282 qps 177.96498909662415
route_priority short_code_selected 10 4 ef 64 recall 0.92758 qps 815.9007883099783
route_priority short_code_selected 10 4 ef 96 recall 0.94352 qps 612.6272159578139
route_priority short_code_selected 10 4 ef 128 recall 0.9496 qps 491.60453180131236
route_priority short_code_selected 10 4 ef 192 recall 0.95548 qps 361.2797640081495
route_priority short_code_selected 10 4 ef 256 recall 0.95834 qps 286.6985914738801
route_priority short_code_selected 10 4 ef 460 recall 0.96282 qps 177.91908727766645
route_priority short_code_selected 10 8 ef 64 recall 0.92758 qps 813.1361194522084
route_priority short_code_selected 10 8 ef 96 recall 0.94352 qps 611.1646418522586
route_priority short_code_selected 10 8 ef 128 recall 0.9496 qps 488.6512544772953
route_priority short_code_selected 10 8 ef 192 recall 0.95548 qps 359.3024536215355
route_priority short_code_selected 10 8 ef 256 recall 0.95834 qps 280.80881831090693
route_priority short_code_selected 10 8 ef 460 recall 0.96282 qps 172.34229459498067
route_priority equal_interval 12 2 ef 64 recall 0.92758 qps 817.1155765413448
route_priority equal_interval 12 2 ef 96 recall 0.94352 qps 620.1138626466102
route_priority equal_interval 12 2 ef 128 recall 0.9496 qps 492.6557755047095
route_priority equal_interval 12 2 ef 192 recall 0.95548 qps 357.7975138458145
route_priority equal_interval 12 2 ef 256 recall 0.95834 qps 288.3772347462858
route_priority equal_interval 12 2 ef 460 recall 0.96282 qps 179.24632177090936
route_priority equal_interval 12 4 ef 64 recall 0.92758 qps 821.2501602735717
route_priority equal_interval 12 4 ef 96 recall 0.94352 qps 616.8597807470641
route_priority equal_interval 12 4 ef 128 recall 0.9496 qps 492.16860013608374
route_priority equal_interval 12 4 ef 192 recall 0.95548 qps 349.4088896725303
route_priority equal_interval 12 4 ef 256 recall 0.95834 qps 270.3281560080631
route_priority equal_interval 12 4 ef 460 recall 0.96282 qps 176.515659758606
route_priority equal_interval 12 8 ef 64 recall 0.92758 qps 813.7596383478907
route_priority equal_interval 12 8 ef 96 recall 0.94352 qps 612.3950896155728
route_priority equal_interval 12 8 ef 128 recall 0.9496 qps 488.0860630676018
route_priority equal_interval 12 8 ef 192 recall 0.95548 qps 358.2455807360559
route_priority equal_interval 12 8 ef 256 recall 0.95834 qps 284.9595472624501
route_priority equal_interval 12 8 ef 460 recall 0.96282 qps 177.1050319265404
route_priority high_variance 12 2 ef 64 recall 0.92758 qps 820.1750087973256
route_priority high_variance 12 2 ef 96 recall 0.94352 qps 619.4918741696068
route_priority high_variance 12 2 ef 128 recall 0.9496 qps 490.9418264677739
route_priority high_variance 12 2 ef 192 recall 0.95548 qps 362.93881696756046
route_priority high_variance 12 2 ef 256 recall 0.95834 qps 287.4523318905476
route_priority high_variance 12 2 ef 460 recall 0.96282 qps 177.1011934012269
route_priority high_variance 12 4 ef 64 recall 0.92758 qps 819.3064936420675
route_priority high_variance 12 4 ef 96 recall 0.94352 qps 617.3979824678506
route_priority high_variance 12 4 ef 128 recall 0.9496 qps 490.7627267263767
route_priority high_variance 12 4 ef 192 recall 0.95548 qps 361.19866608103706
route_priority high_variance 12 4 ef 256 recall 0.95834 qps 282.18744508764286
route_priority high_variance 12 4 ef 460 recall 0.96282 qps 169.86619868969606
route_priority high_variance 12 8 ef 64 recall 0.92758 qps 800.6851894963415
route_priority high_variance 12 8 ef 96 recall 0.94352 qps 591.2478495713109
route_priority high_variance 12 8 ef 128 recall 0.9496 qps 483.97517390056527
route_priority high_variance 12 8 ef 192 recall 0.95548 qps 359.9234862301832
route_priority high_variance 12 8 ef 256 recall 0.95834 qps 284.12721873009224
route_priority high_variance 12 8 ef 460 recall 0.96282 qps 175.7801364544121
route_priority short_code_selected 12 2 ef 64 recall 0.92758 qps 820.4152689598711
route_priority short_code_selected 12 2 ef 96 recall 0.94352 qps 620.0598588959622
route_priority short_code_selected 12 2 ef 128 recall 0.9496 qps 492.94443842792856
route_priority short_code_selected 12 2 ef 192 recall 0.95548 qps 363.6482422301037
route_priority short_code_selected 12 2 ef 256 recall 0.95834 qps 287.45167694179236
route_priority short_code_selected 12 2 ef 460 recall 0.96282 qps 178.89611053664566
route_priority short_code_selected 12 4 ef 64 recall 0.92758 qps 817.683393316843
route_priority short_code_selected 12 4 ef 96 recall 0.94352 qps 618.4256885031513
route_priority short_code_selected 12 4 ef 128 recall 0.9496 qps 492.80233216169603
route_priority short_code_selected 12 4 ef 192 recall 0.95548 qps 363.0931297965889
route_priority short_code_selected 12 4 ef 256 recall 0.95834 qps 286.9741244237523
route_priority short_code_selected 12 4 ef 460 recall 0.96282 qps 178.51636452804752
route_priority short_code_selected 12 8 ef 64 recall 0.92758 qps 813.0444920330211
route_priority short_code_selected 12 8 ef 96 recall 0.94352 qps 619.4143683842682
route_priority short_code_selected 12 8 ef 128 recall 0.9496 qps 494.30281469358727
route_priority short_code_selected 12 8 ef 192 recall 0.95548 qps 362.3225690039813
route_priority short_code_selected 12 8 ef 256 recall 0.95834 qps 275.79861990732644
route_priority short_code_selected 12 8 ef 460 recall 0.96282 qps 170.58222267287064
