dataset,mode,route_bits,route_strategy,top_p,prefetch_distance,ef,graph_fingerprint,route_fingerprint,index_bytes,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,route_top4_float_top1_coverage,route_top8_float_top4_coverage,visited_nodes,distance_computations,neighbors_seen,neighbors_unvisited,route_scored,priority_full_count,remaining_full_count,route_score_us,top_p_select_us,full_distance_us,queue_update_us,traversal_us,route_oracle_samples,route_top1_matches_float_top1,route_top4_contains_float_top1,route_top8_float_top4_hits,route_top8_float_top4_total
dbpedia,route_priority,6,equal_interval,2,8,460,10578023270251871138,1411188919045112350,1159832224,0.96282,179.84066933176945,5557.24904264,5573.73,7644.47765,8445.71860999999,0.4188328593743742,0.6550457579728238,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,905.9614,4998.314,219.94572200000002,122.4877127999998,4482.399724000002,0.0,5468.041360600013,4.9934,0.6302,2.0914,12.6978,19.3846
dbpedia,route_priority,6,equal_interval,4,8,64,10578023270251871138,1411188919045112350,1159832224,0.92758,823.3307653764967,1211.75276284,1206.8505,1564.0717499999998,1884.8620099999994,0.24641434262948206,0.40744060959211115,1274.476,1274.476,1572.4744,1149.8738,1149.8738,265.7466,884.1272,43.473150799999885,24.880964799999997,868.9205018000025,0.0,1128.7624460000027,1.004,0.0598,0.2474,1.6362,4.0158
dbpedia,route_priority,6,equal_interval,4,8,96,10578023270251871138,1411188919045112350,1159832224,0.94352,616.1998264158248,1619.87470572,1620.8874999999998,2112.3691499999995,2406.4713299999985,0.2644983651695061,0.4396707747996208,1730.5306,1730.5306,2316.4534,1605.9284,1605.9284,390.468,1215.4604,59.7228512,34.40336420000001,1243.7719162000017,0.0,1563.073004999999,1.1622,0.075,0.3074,2.0406,4.6412
dbpedia,route_priority,6,equal_interval,4,8,128,10578023270251871138,1411188919045112350,1159832224,0.9496,491.5264341872249,2031.40118648,2039.9085,2650.39085,2973.4534899999976,0.32796881247501,0.5413209593221194,2161.1894,2161.1894,3060.2412,2036.5872,2036.5872,514.1852,1522.402,75.11386319999993,43.337950599999914,1552.1282566000039,0.0,1954.0073172000048,2.0008,0.1764,0.6562,4.293,7.9306
dbpedia,route_priority,6,equal_interval,4,8,192,10578023270251871138,1411188919045112350,1159832224,0.95548,362.1849365913406,2757.97209728,2768.7365,3663.72135,4087.5586599999965,0.33056397224122763,0.5444946093306688,2977.8842,2977.8842,4555.4248,2853.282,2853.282,760.6502,2092.6318,107.6697029999998,60.203693400000105,2190.2866920000015,0.0,2695.8168878000065,2.0462,0.183,0.6764,4.414,8.1066
dbpedia,route_priority,6,equal_interval,4,8,256,10578023270251871138,1411188919045112350,1159832224,0.95834,287.1417570216768,3479.45198228,3492.5295,4678.8626,5181.586719999999,0.3681827262435906,0.597482891794837,3750.0314,3750.0314,6050.3076,3625.4292,3625.4292,1004.4714,2620.9578,134.1881304000008,75.95901219999996,2757.3879735999963,0.0,3387.375955200003,3.0034,0.3126,1.1058,7.0546,11.8072
dbpedia,route_priority,6,equal_interval,4,8,460,10578023270251871138,1411188919045112350,1159832224,0.96282,178.89200376714803,5586.72727188,5599.6275000000005,7673.70165,8426.64034,0.4188328593743742,0.6550671109781386,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,1767.4638,4136.8116,220.1448057999994,122.47675680000006,4507.636598399994,0.0,5494.136214800005,4.9934,0.6298,2.0914,12.699,19.3858
dbpedia,route_priority,6,equal_interval,8,8,64,10578023270251871138,1411188919045112350,1159832224,0.92758,819.8287953508062,1216.89520752,1214.9895000000001,1574.9966,1827.6303699999992,0.24641434262948206,0.40744060959211115,1274.476,1274.476,1572.4744,1149.8738,1149.8738,520.0454,629.8284,43.352656400000015,24.896735999999926,888.7326167999961,0.0,1149.4248269999987,1.004,0.0598,0.2474,1.6362,4.0158
dbpedia,route_priority,6,equal_interval,8,8,96,10578023270251871138,1411188919045112350,1159832224,0.94352,619.0302025156622,1612.6344454,1613.6064999999999,2098.3505999999998,2383.5916699999984,0.2644983651695061,0.4396707747996208,1730.5306,1730.5306,2316.4534,1605.9284,1605.9284,758.4876,847.4408,59.807898800000004,34.66311460000007,1228.459723800001,0.0,1548.6590581999967,1.1622,0.075,0.3074,2.0406,4.6412
dbpedia,route_priority,6,equal_interval,8,8,128,10578023270251871138,1411188919045112350,1159832224,0.9496,492.54666304089204,2027.37981744,2038.0785,2647.0094,2972.09127,0.32796881247501,0.5413209593221194,2161.1894,2161.1894,3060.2412,2036.5872,2036.5872,992.1844,1044.4028,76.32760740000002,43.36289039999983,1576.5068963999927,0.0,1983.809599800001,2.0008,0.1764,0.6562,4.293,7.9306
dbpedia,route_priority,6,equal_interval,8,8,192,10578023270251871138,1411188919045112350,1159832224,0.95548,360.67045975515634,2769.48805068,2780.5495,3679.2092,4084.300419999999,0.33056397224122763,0.5444946093306688,2977.8842,2977.8842,4555.4248,2853.282,2853.282,1451.856,1401.426,109.33030379999995,60.2094064,2175.6352787999954,0.0,2686.6926473999993,2.0462,0.183,0.6764,4.414,8.1066
dbpedia,route_priority,6,equal_interval,8,8,256,10578023270251871138,1411188919045112350,1159832224,0.95834,286.25538570264797,3490.3749584400002,3502.5225,4704.9831,5212.007769999999,0.3681827262435906,0.597482891794837,3750.0314,3750.0314,6050.3076,3625.4292,3625.4292,1900.7446,1724.6846,134.38319760000033,75.96437639999971,2781.4228935999936,0.0,3415.645118599996,3.0034,0.3126,1.1058,7.0546,11.8072
dbpedia,route_priority,6,equal_interval,8,8,460,10578023270251871138,1411188919045112350,1159832224,0.96282,177.99858824586582,5614.71441744,5628.8994999999995,7714.981049999999,8521.597089999996,0.4188328593743742,0.6550457579728238,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,3279.3988,2624.8766,221.29244419999984,122.4608814,4509.016722200019,0.0,5503.437055799996,4.9934,0.6302,2.0914,12.6978,19.3846
dbpedia,route_priority,6,high_variance,2,8,64,10578023270251871138,15286360507271433507,1159832224,0.92758,836.7244435382627,1192.26942424,1186.757,1552.9610999999998,1881.0049799999993,0.23745019920318725,0.41451267493401067,1274.476,1274.476,1572.4744,1149.8738,1149.8738,133.5022,1016.3716,44.00500099999999,24.655652399999926,854.2265099999976,0.0,1113.8124101999965,1.004,0.0618,0.2384,1.6646,4.0158
dbpedia,route_priority,6,high_variance,2,8,96,10578023270251871138,15286360507271433507,1159832224,0.94352,622.9623466771012,1602.06982524,1602.257,2090.4932,2380.6168399999992,0.254173119944932,0.4465655433939498,1730.5306,1730.5306,2316.4534,1605.9284,1605.9284,196.5572,1409.3712,59.520474399999834,34.11242540000002,1235.9321586000053,0.0,1551.4320386,1.1622,0.0744,0.2954,2.0726,4.6412
dbpedia,route_priority,6,high_variance,2,8,128,10578023270251871138,15286360507271433507,1159832224,0.9496,493.59424416720907,2023.08492648,2031.493,2642.5241499999997,2960.3816399999987,0.32956817273090766,0.5452803066602779,2161.1894,2161.1894,3060.2412,2036.5872,2036.5872,259.3858,1777.2014,75.60945120000008,42.99854600000004,1559.4323884000019,0.0,1959.417830200004,2.0008,0.1812,0.6594,4.3244,7.9306
dbpedia,route_priority,6,high_variance,2,8,192,10578023270251871138,15286360507271433507,1159832224,0.95548,363.7257812658241,2746.322211,2755.0985,3647.3163999999997,4086.0471699999994,0.33339849477079464,0.5491574766239854,2977.8842,2977.8842,4555.4248,2853.282,2853.282,385.1988,2468.0832,105.17112979999968,59.6827186,2176.1905845999977,0.0,2673.2287782000108,2.0462,0.1888,0.6822,4.4518,8.1066
dbpedia,route_priority,6,high_variance,2,8,256,10578023270251871138,15286360507271433507,1159832224,0.95834,287.054959639686,3480.55042676,3487.8875,4688.9742,5210.120179999997,0.37657321702070984,0.6040043363371502,3750.0314,3750.0314,6050.3076,3625.4292,3625.4292,510.3886,3115.0406,136.5401034,75.36596780000016,2768.401318400001,0.0,3398.6209402000077,3.0034,0.3234,1.131,7.1316,11.8072
dbpedia,route_priority,6,high_variance,2,8,460,10578023270251871138,15286360507271433507,1159832224,0.96282,178.30201285819243,5605.24765416,5622.306500000001,7701.2377,8472.44971999999,0.4314895662274202,0.6628148117577871,6028.8776,6028.8776,10818.8032,5904.2754,5904.2754,905.9614,4998.314,225.67637100000027,121.46817439999981,4547.896801999993,0.0,5537.904207400027,4.9934,0.6628,2.1546,12.8484,19.3846
dbpedia,route_priority,6,high_variance,4,8,64,10578023270251871138,15286360507271433507,1159832224,0.92758,810.4728508496889,1231.03748448,1225.3335,1605.1827499999997,1934.79147,0.23745019920318725,0.41451267493401067,1274.476,1274.476,1572.4744,1149.8738,1149.8738,265.7466,884.1272,43.60408959999991,24.67018559999991,891.2372015999986,0.0,1153.3386784000008,1.004,0.0618,0.2384,1.6646,4.0158
