dataset,layout,centroid_count,centroid_mode,M,efConstruction,ef,k,rerank_candidates,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,visited_nodes,distance_computations,prepare_query_us,traversal_us,rerank_us,total_query_us,active_centroids,bytes_per_vector,quantization_mse,average_relative_distance_error,ns_per_distance,cycles_per_distance,run_index,graph_fingerprint,index_format_version
dbpedia_openai1536,sequential,64,lazy,16,200,256,10,100,0.9775,313.428,3190.52,3207,4013,4263,3750.02,3750.02,15.9448,2911.14,263.348,3190.52,50.5114,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,320,10,100,0.97934,268.913,3718.67,3733,4751,5039,4490.63,4490.63,15.9858,3433.49,269.084,3718.67,51.84,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,460,10,100,0.98292,207.398,4821.65,4826,6304,6712,6027.77,6027.77,16.0882,4524.68,280.742,4821.65,53.9614,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,64,lazy,16,200,640,10,100,0.98456,162.316,6160.83,6193,8185,8779,7889.56,7889.56,16.1094,5849.87,294.688,6160.83,55.8134,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,32,10,32,0.8961,681.281,1467.82,1455,1680,1867,790.639,790.639,789.378,585.046,93.431,1467.82,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,64,10,64,0.94134,536.603,1863.58,1858,2164,2401,1273.92,1273.92,784.819,917.671,161.085,1863.58,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,96,10,96,0.95938,444.6,2249.21,2249,2647,2925,1730.85,1730.85,775.584,1231.7,241.918,2249.21,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,128,10,100,0.9667,391.779,2552.46,2554,3036,3355,2161.48,2161.48,775.791,1521.66,254.936,2552.46,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,192,10,100,0.97358,321.428,3111.11,3117,3805,4192,2978.72,2978.72,774.433,2077.93,258.65,3111.11,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,100,eager,16,200,256,10,100,0.97746,274.138,3647.8,3661,4542,4973,3750.59,3750.59,774.646,2609.62,263.389,3647.8,100,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
